Player▼,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK
Joël Matip,DF,Liverpool,27,9,8,703,7.8,1,0,1,0
Nemanja Matić,MF,Manchester Utd,30,21,18,"1,581",17.6,0,2,0,0
Juan Mata,"MF,FW",Manchester Utd,31,19,8,758,8.4,0,2,0,0
Arthur Masuaku,DF,West Ham,25,17,10,937,10.4,0,1,0,0
Adam Masina,DF,Watford,25,26,20,"1,821",20.2,1,0,1,0
Emiliano Martínez,GK,Arsenal,26,9,8,771,8.6,0,0,0,0
Martinelli,FW,Arsenal,18,14,6,663,7.4,3,0,3,0
Josh Martin,"FW,MF",Norwich City,17,5,0,37,0.4,0,0,0,0
David Martin,GK,West Ham,33,5,4,436,4.8,0,0,0,0
Anthony Martial,FW,Manchester Utd,23,32,31,"2,624",29.2,17,6,17,0
Adrian Mariappa,DF,Watford,32,20,15,"1,513",16.8,0,0,0,0
Pablo Marí,DF,Arsenal,25,2,2,113,1.3,0,0,0,0
Solly March,"DF,FW",Brighton,25,19,11,"1,143",12.7,0,1,0,0
Javier Manquillo,DF,Newcastle Utd,25,21,18,"1,599",17.8,0,1,0,0
Sadio Mané,FW,Liverpool,27,35,31,"2,747",30.5,18,7,18,0
Ainsley Maitland-Niles,DF,Arsenal,21,20,15,"1,386",15.4,0,2,0,0
Riyad Mahrez,"FW,MF",Manchester City,28,33,21,"1,944",21.6,11,9,10,1
Harry Maguire,DF,Manchester Utd,26,38,38,"3,420",38,1,1,1,0
James Maddison,MF,Leicester City,22,31,29,"2,624",29.2,6,3,6,0
Alexis Mac Allister,"MF,FW",Brighton,20,9,4,352,3.9,0,0,0,0
John Lundstram,MF,Sheffield Utd,25,34,26,"2,458",27.3,5,3,5,0
Douglas Luiz,MF,Aston Villa,21,36,28,"2,612",29,3,2,3,0
David Luiz,DF,Arsenal,32,33,32,"2,809",31.2,2,1,2,0
Matthew Lowton,DF,Burnley,30,17,17,"1,530",17,0,1,0,0
Dejan Lovren,DF,Liverpool,30,10,9,777,8.6,0,1,0,0
Sean Longstaff,MF,Newcastle Utd,21,23,14,"1,378",15.3,1,1,1,0
Matthew Longstaff,MF,Newcastle Utd,19,9,6,575,6.4,2,0,2,0
Shane Long,FW,Southampton,32,26,15,"1,395",15.5,2,2,2,0
Kevin Long,DF,Burnley,28,8,6,564,6.3,0,0,0,0
Ruben Loftus-Cheek,"MF,FW",Chelsea,23,7,2,208,2.3,0,1,0,0
Jürgen Locadia,"MF,FW",Brighton,25,2,1,86,1,0,0,0,0
Giovani Lo Celso,"MF,FW",Tottenham,23,28,15,"1,492",16.6,0,2,0,0
Hugo Lloris,GK,Tottenham,32,21,21,"1,807",20.1,0,0,0,0
Jesse Lingard,"MF,FW",Manchester Utd,26,22,9,935,10.4,1,0,1,0
Victor Lindelöf,DF,Manchester Utd,25,35,35,"3,092",34.4,1,0,1,0
Jamal Lewis,DF,Norwich City,21,28,25,"2,304",25.6,1,0,1,0
Jefferson Lerma,MF,Bournemouth,24,33,31,"2,703",30,1,2,1,0
Bernd Leno,GK,Arsenal,27,30,30,"2,649",29.4,0,0,0,0
Aaron Lennon,MF,Burnley,32,16,4,496,5.5,0,0,0,0
Florian Lejeune,DF,Newcastle Utd,28,6,4,442,4.9,2,0,2,0
Moritz Leitner,MF,Norwich City,26,9,7,685,7.6,0,0,0,0
Valentino Lazaro,"DF,MF",Newcastle Utd,23,13,4,480,5.3,1,0,1,0
Jamaal Lascelles,DF,Newcastle Utd,25,24,24,"2,076",23.1,1,0,1,0
Aymeric Laporte,DF,Manchester City,25,15,14,"1,097",12.2,1,0,1,0
Manuel Lanzini,"MF,FW",West Ham,26,24,14,"1,379",15.3,0,2,0,0
Henri Lansbury,"MF,FW",Aston Villa,28,10,2,195,2.2,0,0,0,0
Tariq Lamptey,DF,Chelsea,18,1,0,32,0.4,0,0,0,0
Tariq Lamptey,DF,Brighton,18,8,7,588,6.5,0,1,0,0
Érik Lamela,"MF,FW",Tottenham,27,25,12,"1,215",13.5,2,1,2,0
Adam Lallana,"MF,FW",Liverpool,31,15,3,382,4.2,1,1,1,0
Alexandre Lacazette,FW,Arsenal,28,30,22,"1,874",20.8,10,4,10,0
Tim Krul,GK,Norwich City,31,36,36,"3,240",36,0,0,0,0
Emil Krafth,DF,Newcastle Utd,24,17,11,"1,020",11.3,0,1,0,0
Mateo Kovačić,MF,Chelsea,25,31,23,"2,073",23,1,3,1,0
Cheikhou Kouyaté,"MF,DF",Crystal Palace,29,35,29,"2,528",28.1,1,1,1,0
Ezri Konsa,DF,Aston Villa,21,25,24,"2,039",22.7,1,2,1,0
Sead Kolašinac,DF,Arsenal,26,26,19,"1,701",18.9,0,2,0,0
Jonathan Kodjia,"FW,MF",Aston Villa,29,6,0,117,1.3,0,0,0,0
Timm Klose,DF,Norwich City,31,7,7,585,6.5,0,0,0,0
Joshua King,"FW,MF",Bournemouth,27,26,24,"2,011",22.3,6,4,3,3
Max Kilman,DF,Wolves,22,3,2,185,2.1,0,0,0,0
Martin Kelly,DF,Crystal Palace,29,19,17,"1,549",17.2,0,1,0,0
Lloyd Kelly,DF,Bournemouth,20,8,7,639,7.1,0,0,0,0
Naby Keïta,MF,Liverpool,24,18,9,815,9.1,2,3,2,0
Michael Keane,DF,Everton,26,31,28,"2,559",28.4,2,0,2,0
Moise Kean,FW,Everton,19,29,6,852,9.5,2,2,2,0
N'Golo Kanté,MF,Chelsea,28,22,20,"1,732",19.2,3,0,3,0
Harry Kane,FW,Tottenham,26,29,29,"2,587",28.7,18,2,16,2
Christian Kabasele,DF,Watford,28,27,26,"2,250",25,0,2,0,0
James Justin,DF,Leicester City,21,13,11,"1,012",11.2,0,1,0,0
Jota,"FW,MF",Aston Villa,28,10,4,335,3.7,0,1,0,0
Diogo Jota,"FW,MF",Wolves,22,34,27,"2,284",25.4,7,1,7,0
Jorginho,MF,Chelsea,27,31,27,"2,379",26.4,4,2,1,3
Bruno Jordão,FW,Wolves,20,1,0,7,0.1,0,0,0,0
Phil Jones,DF,Manchester Utd,27,2,2,135,1.5,0,0,0,0
Curtis Jones,MF,Liverpool,18,6,1,126,1.4,1,0,1,0
Ben Johnson,DF,West Ham,19,3,3,270,3,0,0,0,0
Joelinton,FW,Newcastle Utd,22,38,32,"2,683",29.8,2,2,2,0
Raúl Jiménez,FW,Wolves,28,38,37,"3,236",36,17,6,13,4
Gabriel Jesus,FW,Manchester City,22,34,21,"2,030",22.6,14,7,14,0
Daryl Janmaat,DF,Watford,30,8,7,607,6.7,0,1,0,0
Reece James,DF,Chelsea,19,24,16,"1,515",16.8,0,2,0,0
Matty James,MF,Leicester City,28,1,0,6,0.1,0,0,0,0
Daniel James,FW,Manchester Utd,21,33,26,"2,287",25.4,3,6,3,0
Alireza Jahanbakhsh,"FW,MF",Brighton,25,10,3,311,3.5,2,0,2,0
Phil Jagielka,DF,Sheffield Utd,36,6,2,244,2.7,0,0,0,0
Alex Iwobi,"MF,FW",Everton,23,25,19,"1,596",17.7,1,0,1,0
Danny Ings,FW,Southampton,27,38,32,"2,804",31.2,22,2,21,1
Kelechi Iheanacho,"FW,MF",Leicester City,22,20,12,960,10.7,5,3,5,0
Odion Ighalo,FW,Manchester Utd,30,11,0,101,1.1,0,0,0,0
Adam Idah,"FW,MF",Norwich City,18,12,1,228,2.5,0,0,0,0
Jordon Ibe,DF,Bournemouth,23,2,0,50,0.6,0,0,0,0
Will Hughes,"MF,FW",Watford,24,30,27,"2,252",25,1,1,1,0
Callum Hudson-Odoi,FW,Chelsea,18,22,7,863,9.6,1,5,1,0
Conor Hourihane,MF,Aston Villa,28,27,18,"1,534",17,3,5,3,0
Nathan Holland,MF,West Ham,21,2,0,33,0.4,0,0,0,0
Mason Holgate,DF,Everton,22,27,24,"2,054",22.8,0,3,0,0
José Holebas,DF,Watford,35,14,11,"1,025",11.4,0,0,0,0
Rob Holding,DF,Arsenal,23,8,6,581,6.5,0,0,0,0
Pierre Højbjerg,MF,Southampton,23,33,30,"2,752",30.6,0,1,0,0
George Hirst,FW,Leicester City,20,2,0,11,0.1,0,0,0,0
Son Heung-min,"FW,MF",Tottenham,27,30,28,"2,476",27.5,11,10,11,0
